Purchase ID,Purchase Date,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Shipping Type,Discount Applied,Promo Code Used,Payment Method
25be1e24-f517-4dc2-828e-b25a106ecdc7,2023-03-06 13:00:15.269083741+00:00,T-shirt,Clothing,47,M,Orange,Fall,Free Shipping,Yes,Yes,Credit Card
fb6bb139-0952-494d-bf46-733ab908e349,2023-10-12 03:37:53.622730729+00:00,Jacket,Outerwear,83,XL,Pink,Fall,Next Day Air,Yes,Yes,Cash
3e10ca3e-89b4-4662-ba30-f7f595edd198,2023-03-18 01:30:03.578113870+00:00,Hat,Accessories,48,L,Violet,Summer,Express,Yes,Yes,Credit Card
635a7468-803c-4d62-a4b8-440cd03246a7,2023-05-16 03:24:40.768026868+00:00,Scarf,Accessories,99,S,Green,Winter,Standard,Yes,Yes,Credit Card
d2960658-16fc-41ae-8fa8-83e474c57c75,2023-10-01 18:05:51.840494146+00:00,Jacket,Outerwear,87,M,Olive,Winter,2-Day Shipping,Yes,Yes,Venmo
920d560d-c918-46fc-a3c6-bf484b3feef5,2023-09-15 14:32:32.885026739+00:00,Sweater,Clothing,62,M,Purple,Fall,Standard,Yes,Yes,Credit Card
de34eb5b-e23c-443e-b7ad-d342ea4e2ffa,2023-08-11 21:30:58.966685886+00:00,Skirt,Clothing,76,S,Silver,Spring,Free Shipping,Yes,Yes,Credit Card
e57eb1a2-e539-4fa4-ba9c-d44f9e419933,2023-06-29 08:42:34.592247760+00:00,Sneakers,Footwear,100,L,Pink,Fall,Free Shipping,Yes,Yes,PayPal
f1981e10-5c4a-4e3a-8350-5eed7be45720,2023-01-08 21:08:43.339807502+00:00,Gloves,Accessories,73,S,Gold,Spring,Express,Yes,Yes,Venmo
b8245308-654b-442b-b5ca-5f2707cf4b7f,2023-12-16 11:14:04.007491216+00:00,Shoes,Footwear,92,M,Teal,Winter,Store Pickup,Yes,Yes,Cash
2caa04e5-0121-409f-88b7-d33eee3c028e,2023-10-23 12:53:47.126917683+00:00,Jeans,Clothing,67,XL,Teal,Spring,Next Day Air,Yes,Yes,Bank Transfer
81a6abae-2519-4d2a-9f4d-0c3b99bfa96c,2023-06-21 17:06:02.476327023+00:00,Hoodie,Clothing,40,XL,Indigo,Summer,Express,Yes,Yes,Debit Card
aa285f3d-c564-4be2-b49a-a5268df9eb83,2023-09-30 22:35:43.497339538+00:00,Sunglasses,Accessories,98,M,Maroon,Fall,Express,Yes,Yes,Cash
5390a6a8-656f-43ac-9dd2-dc8c8b0b1d53,2023-11-19 05:14:23.247131280+00:00,Coat,Outerwear,85,XL,White,Spring,Express,Yes,Yes,Credit Card
846c47ff-b7d6-441d-90a0-6b3ca8077889,2023-09-07 15:24:54.139576925+00:00,Socks,Clothing,67,L,Violet,Winter,Next Day Air,Yes,Yes,Credit Card
145af45e-9563-4743-9d93-4089f41839d3,2023-02-08 16:43:14.995840267+00:00,Boots,Footwear,89,L,Red,Winter,Next Day Air,Yes,Yes,Venmo
bb60842d-3229-4fd6-b994-eaab05dc7a89,2023-10-01 06:05:50.157076082+00:00,Sunglasses,Accessories,24,L,Pink,Spring,2-Day Shipping,Yes,Yes,PayPal
91968455-624f-4c7b-930c-e2d30edeb036,2023-06-19 07:18:39.662616279+00:00,Backpack,Accessories,96,M,Charcoal,Fall,Next Day Air,Yes,Yes,Bank Transfer
38fcf0f8-89ba-423d-9874-db02ab2ddb66,2023-06-04 13:43:06.035017549+00:00,Jacket,Outerwear,35,L,White,Summer,Standard,Yes,Yes,Credit Card
4923e1b8-ade6-4d60-b8f6-a861deef5aa4,2023-08-21 14:21:01.698914577+00:00,Sneakers,Footwear,67,L,Olive,Winter,Next Day Air,Yes,Yes,PayPal
8de8158f-97f4-4a3b-b915-9398fab9afc2,2023-08-20 04:25:46.376237327+00:00,Socks,Clothing,79,L,Purple,Spring,Next Day Air,Yes,Yes,Bank Transfer
4b254e44-59b9-4491-8bcc-df2c7b9ebaa3,2023-08-16 05:58:32.608137782+00:00,T-shirt,Clothing,85,M,Violet,Spring,Next Day Air,Yes,Yes,Bank Transfer
83033ce1-555a-4ebb-826d-bcec2824b79c,2023-01-24 14:02:25.327257163+00:00,Backpack,Accessories,26,M,Black,Summer,Standard,Yes,Yes,Venmo
101edd40-b75c-4076-ace9-07eb780a9c81,2023-09-10 19:35:45.502753992+00:00,Belt,Accessories,75,L,Purple,Summer,Free Shipping,Yes,Yes,Credit Card
b0a78928-29db-4788-8fa0-073b8211559b,2023-06-01 11:12:22.762499921+00:00,Gloves,Accessories,65,M,Red,Spring,Free Shipping,Yes,Yes,PayPal
c026a034-a508-4c78-a478-2ea0705276e6,2023-01-25 06:53:24.953440197+00:00,Hat,Accessories,54,L,Maroon,Winter,Next Day Air,Yes,Yes,PayPal
5a3f3b12-1ff7-4bae-87dc-d45cb37a30a6,2023-03-05 04:18:26.890863946+00:00,Coat,Outerwear,95,S,Blue,Summer,Store Pickup,Yes,Yes,Cash
f70272cd-bae5-4050-bf18-cb7d60bc22f1,2023-04-07 16:49:47.208241154+00:00,Skirt,Clothing,94,M,Gray,Spring,Standard,Yes,Yes,Debit Card
1538c191-a15e-44ff-8fa1-660900137f18,2023-04-22 04:37:28.905522028+00:00,Shoes,Footwear,86,S,Blue,Spring,Free Shipping,Yes,Yes,Venmo
56efd429-a3f7-4a79-9445-f101c41c8b4b,2023-05-30 20:41:30.641856869+00:00,Sandals,Footwear,32,L,Yellow,Summer,Express,Yes,Yes,Cash
19b85b7f-0945-47ca-b45d-0c73cb153d05,2023-06-06 20:03:40.955798977+00:00,Sweater,Clothing,45,L,Orange,Fall,2-Day Shipping,Yes,Yes,Cash
da67ef58-2192-44b3-ab3b-46580c2440d5,2023-09-18 09:00:42.693559894+00:00,Coat,Outerwear,76,M,Orange,Fall,Express,Yes,Yes,Cash
3608063a-1049-4891-bfeb-0bcc70359378,2023-10-07 15:19:52.188768318+00:00,Hat,Accessories,84,L,Red,Summer,Express,Yes,Yes,Bank Transfer
b25ec1a3-8162-463c-a49f-61679ba9d8f7,2023-05-23 01:04:43.567652173+00:00,Shorts,Clothing,72,M,Olive,Winter,Standard,Yes,Yes,Cash
21e21caf-0057-436a-8a87-a68c5bb85150,2023-12-18 06:05:04.178647412+00:00,Backpack,Accessories,40,L,Brown,Spring,2-Day Shipping,Yes,Yes,Cash
b87d70d0-9b85-48b1-81f5-06bcb79fa687,2023-11-26 22:55:18.770865460+00:00,Sweater,Clothing,89,L,Brown,Fall,Free Shipping,Yes,Yes,Cash
10245af0-4daf-4b95-9db2-b397e92b0e12,2023-05-20 20:27:21.462518499+00:00,Sweater,Clothing,86,M,Gray,Spring,Next Day Air,Yes,Yes,PayPal
ec65b036-5d64-4391-8075-f74a82f17eba,2023-10-01 14:46:14.853565057+00:00,Shorts,Clothing,54,M,Indigo,Winter,Next Day Air,Yes,Yes,Venmo
4436105b-1f3f-4905-bd0f-a8836792d7c7,2023-07-28 04:13:11.862395165+00:00,Shorts,Clothing,36,L,Pink,Spring,Store Pickup,Yes,Yes,Cash
1742b9e9-ca9d-4b2f-8504-e0c26371c1e1,2023-03-11 15:19:32.691157054+00:00,Sweater,Clothing,89,M,Gray,Winter,Next Day Air,Yes,Yes,Credit Card
eb92a72b-966d-432f-95ec-42dffa64e4b3,2023-08-10 14:27:00.675651378+00:00,Scarf,Accessories,32,M,Gold,Spring,Standard,Yes,Yes,Credit Card
ed7d7d1c-f16d-42cb-93b8-c75ca9f56adb,2023-05-13 19:50:04.013434276+00:00,Dress,Clothing,67,XL,Olive,Summer,2-Day Shipping,Yes,Yes,PayPal
b9014b82-e1b1-4d6b-8d7f-d9e9b2a208b4,2023-04-05 20:13:12.816779488+00:00,Scarf,Accessories,39,L,Violet,Fall,Next Day Air,Yes,Yes,PayPal
3ce52a11-4cc9-459c-afbf-863e7e45c8a6,2023-12-22 22:05:48.787375023+00:00,Skirt,Clothing,29,L,Indigo,Summer,Standard,Yes,Yes,Credit Card
337ee1d7-94a1-4432-b642-37f381a1b426,2023-07-22 10:27:38.387076544+00:00,Backpack,Accessories,58,M,Orange,Fall,2-Day Shipping,Yes,Yes,PayPal
639ee49f-f5fc-4e35-9a7a-425ab87eecdd,2023-10-28 11:45:44.039355485+00:00,Sweater,Clothing,65,M,Violet,Winter,Next Day Air,Yes,Yes,Venmo
1a9b924e-83aa-4533-8099-6f16bcef3bfe,2023-05-12 16:33:46.267728277+00:00,Hat,Accessories,94,L,Gray,Fall,Store Pickup,Yes,Yes,Cash
7e3d1d94-b903-409a-b932-44cb3616f964,2023-01-31 20:35:30.481216472+00:00,Sandals,Footwear,81,M,Purple,Fall,Express,Yes,Yes,PayPal
cc27aefb-849e-4200-b9ec-013d2a7ff6f1,2023-10-31 07:13:50.481586177+00:00,Blouse,Clothing,86,M,White,Winter,Free Shipping,Yes,Yes,Debit Card
f8c552b1-c727-4ce9-91fe-bd237aec2b37,2023-03-25 11:39:49.699150426+00:00,Sneakers,Footwear,43,M,Turquoise,Spring,Free Shipping,Yes,Yes,PayPal
62ed32bb-a292-49a1-90fc-293a69eaf46e,2023-12-05 09:46:52.225468996+00:00,Skirt,Clothing,29,M,Maroon,Winter,Store Pickup,Yes,Yes,Bank Transfer
cd0a6f65-8614-4e97-943c-8275322fc440,2023-01-30 01:32:38.552156925+00:00,Coat,Outerwear,95,M,White,Fall,Store Pickup,Yes,Yes,Venmo
81f41174-87ef-4a6c-be86-67e80df9e4ce,2023-05-05 08:37:06.402926645+00:00,Shirt,Clothing,28,L,Yellow,Fall,2-Day Shipping,Yes,Yes,Credit Card
bf022143-1c48-489a-8515-34cc0159c034,2023-02-04 22:49:44.150534733+00:00,Gloves,Accessories,46,M,Turquoise,Fall,Free Shipping,Yes,Yes,PayPal
3de3094b-e670-4c2d-831f-61a0f0add4d1,2023-04-19 15:09:05.554049066+00:00,Jacket,Outerwear,58,L,Violet,Fall,Free Shipping,Yes,Yes,Credit Card
4982f589-eb30-482f-9620-8121b59f5083,2023-05-08 17:28:59.458938052+00:00,Coat,Outerwear,48,M,Beige,Fall,Store Pickup,Yes,Yes,PayPal
948e2d7f-deaa-47a5-aaa7-fec25bb295b9,2023-09-29 03:25:02.235482526+00:00,Shoes,Footwear,43,M,Silver,Fall,Express,Yes,Yes,Cash
de26651c-97fe-4355-a01b-cf2e29740c99,2023-11-29 02:41:21.107179097+00:00,Jewelry,Accessories,95,M,Teal,Fall,Standard,Yes,Yes,Debit Card
e2fddece-1344-4271-b7d9-321ef549049b,2023-04-05 03:02:00.193808188+00:00,Skirt,Clothing,30,S,Black,Fall,Standard,Yes,Yes,Venmo
b7fd02b6-3c60-40a3-a1ca-fd711ce74087,2023-12-24 13:18:33.029533985+00:00,Shoes,Footwear,64,M,Purple,Summer,2-Day Shipping,Yes,Yes,Bank Transfer
63c15c38-6c1b-450c-b74c-a13d0c94ea27,2023-02-21 16:23:25.931804983+00:00,Gloves,Accessories,90,M,Gray,Fall,Store Pickup,Yes,Yes,Debit Card
b95a3f47-d59f-45a6-8f59-8bf1ff5ce427,2023-11-25 19:33:11.685349969+00:00,Pants,Clothing,76,M,White,Summer,Free Shipping,Yes,Yes,PayPal
d6743f81-4ea9-4835-b3ad-13c788afd50a,2023-05-10 10:58:22.725724013+00:00,Boots,Footwear,96,L,Cyan,Fall,Standard,Yes,Yes,Debit Card
7017acf2-3e14-4c0e-916e-132e7d129a52,2023-03-29 22:49:14.827965039+00:00,Sunglasses,Accessories,47,L,Turquoise,Fall,Next Day Air,Yes,Yes,Venmo
b8de074b-7ae4-471a-960a-e2894461a0c6,2023-02-21 21:04:19.774074117+00:00,Shirt,Clothing,85,S,Brown,Summer,Express,Yes,Yes,Venmo
